,Unnamed: 0,id,date,timezone,place,tweet,language,hashtags,user_id_str,username,day,hour,retweet,nlikes,nreplies,nretweets,geo,retweet_id,text,retweetcount,likecount,replycount,created_at,unique,text_lem,hashtagsLower,hashtagsList,hashtagsCount,textCount,subjectivity,polarity,sentiment,hype_loop
0,410,1406099563430223872,2021-06-18,-700,,You Pick It! - Which Album to Review in July?  #Maroon5 - #Jordi #BruceSpringsteen - #BornToRun #RobertJohnson - #KingofTheDeltaBluesSingers #RedHotChiliPeppers - #OneHotMinute #Styx - #ParadiseTheatre  https://t.co/SWtilFgfPc,en,"['maroon5', 'jordi', 'brucespringsteen', 'borntorun', 'robertjohnson', 'kingofthedeltabluessingers', 'redhotchilipeppers', 'onehotminute', 'styx', 'paradisetheatre']",717504864117530629,2loud2oldmusic,5,21,False,1,0,1,,,you pick album review july maroon5 jordi brucespringsteen borntorun robertjohnson kingofthedeltabluessingers redhotchilipeppers onehotminute styx paradisetheatre,1,1,0,2021-06-18 21:00:34,2loud2oldmusicYou Pick It! - Which Album to Review in July?  #Maroon5 - #Jordi #BruceSpringsteen - #BornToRun #RobertJohnson - #KingofTheDeltaBluesSingers #RedHotChiliPeppers - #OneHotMinute #Styx - #ParadiseTheatre  https://t.co/SWtilFgfPc,"[('you', 'n'), ('pick', 'v'), ('album', 'a'), ('review', 'n'), ('july', 'n'), ('maroon5', 'a'), ('jordi', 'n'), ('brucespringsteen', 'n'), ('borntorun', 'n'), ('robertjohnson', 'n'), ('kingofthedeltabluessingers', 'n'), ('redhotchilipeppers', 'n'), ('onehotminute', 'v'), ('styx', 'n'), ('paradisetheatre', 'n')]","['maroon5', 'jordi', 'brucespringsteen', 'borntorun', 'robertjohnson', 'kingofthedeltabluessingers', 'redhotchilipeppers', 'onehotminute', 'styx', 'paradisetheatre']","['maroon5',",11,161,0.0,0.0,Neutral,POST
1,411,1406044334538039300,2021-06-18,-700,,A música que eu menos gostei do #jordi não sai da minha cabeçaaaa   would you convince me otherwise?,pt,['jordi'],324463056,mottajuu,5,17,False,0,0,0,,,a música que eu menos gostei jordi não sai da minha cabeçaaaa would convince otherwise,0,0,0,2021-06-18 17:21:07,mottajuuA música que eu menos gostei do #jordi não sai da minha cabeçaaaa   would you convince me otherwise?,"[('a', 'n'), ('música', 'n'), ('que', 'n'), ('eu', 'v'), ('menos', 'n'), ('gostei', 'v'), ('jordi', 'n'), ('não', 'n'), ('sai', 'n'), ('da', 'n'), ('minha', 'n'), ('cabeçaaaa', 'n'), ('would', 'n'), ('convince', 'v'), ('otherwise', 'r')]",['jordi'],['jordi'],9,86,0.0,0.0,Neutral,POST
2,412,1406043900792430594,2021-06-18,-700,,#m5 #maroon5 #JORDI #buttonjordi @maroon5   https://t.co/KGa6E27Jxb,und,"['m5', 'maroon5', 'jordi', 'buttonjordi']",1108624052334268416,Scultra_Sculz,5,17,False,0,0,0,,,m5 maroon5 jordi buttonjordi,0,0,0,2021-06-18 17:19:23,Scultra_Sculz#m5 #maroon5 #JORDI #buttonjordi @maroon5   https://t.co/KGa6E27Jxb,"[('m5', 'n'), ('maroon5', 'n'), ('jordi', 'n'), ('buttonjordi', 'n')]","['m5', 'maroon5', 'jordi', 'buttonjordi']","['m5',",6,28,0.0,0.0,Neutral,POST
3,413,1406029600572989452,2021-06-18,-700,,25: #Jordi  by @maroon5  Why? No seriously why? Every new album this “band” starts to sound more and more like an Adam Levine solo project. They used to make good quality pop rock but now they’re a bunch of directionless sellouts. Fuck this trainwreck.  https://t.co/Ic6khkmjv8,en,['jordi'],4627559308,sebbyskywalker,5,16,False,0,1,0,,,25 jordi no seriously every new album band start sound more like adam levine solo project use make good quality pop rock theyre bunch directionless sellout fuck trainwreck,0,0,1,2021-06-18 16:22:34,sebbyskywalker25: #Jordi  by @maroon5  Why? No seriously why? Every new album this “band” starts to sound more and more like an Adam Levine solo project. They used to make good quality pop rock but now they’re a bunch of directionless sellouts. Fuck this trainwreck.  https://t.co/Ic6khkmjv8,"[('25', 'n'), ('jordi', 'n'), ('no', 'n'), ('seriously', 'r'), ('every', 'n'), ('new', 'a'), ('album', 'n'), ('band', 'n'), ('starts', 'v'), ('sound', 'r'), ('more', 'r'), ('like', 'n'), ('adam', 'a'), ('levine', 'n'), ('solo', 'n'), ('project', 'n'), ('used', 'v'), ('make', 'v'), ('good', 'a'), ('quality', 'n'), ('pop', 'n'), ('rock', 'n'), ('theyre', 'n'), ('bunch', 'n'), ('directionless', 'n'), ('sellouts', 'n'), ('fuck', 'v'), ('trainwreck', 'n')]",['jordi'],['jordi'],9,171,0.5368686868686868,0.2505050505050505,Positive,POST
4,414,1406024527268569092,2021-06-18,-700,,Behind the scenes of our music video for “Lost” directed by Sophie Muller.  #JORDI 🧜‍♀️📲✨  https://t.co/Dmyo0h397Y  https://t.co/apc0ywQjM2,en,['jordi'],24886570,maroon5,5,16,False,1382,27,180,,,behind scene music video lose direct sophie muller jordi,180,1382,27,2021-06-18 16:02:24,maroon5Behind the scenes of our music video for “Lost” directed by Sophie Muller.  #JORDI 🧜‍♀️📲✨  https://t.co/Dmyo0h397Y  https://t.co/apc0ywQjM2,"[('behind', 'n'), ('scenes', 'n'), ('music', 'n'), ('video', 'n'), ('lost', 'v'), ('directed', 'v'), ('sophie', 'a'), ('muller', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,56,0.55,-0.15000000000000002,Negative,POST
5,415,1405998387065937923,2021-06-18,-700,,".@maroon5’ #JORDI streams  1st Week +41,600,617 7th day +5,160,901  Total: 1,580,129,687  https://t.co/QVO4ckbu9B",en,['jordi'],1335768481954996226,M5onCharts,5,14,False,18,1,0,,,jordi stream 1st week 41600617 7th day 5160901 total 1580129687,0,18,1,2021-06-18 14:18:32,"M5onCharts.@maroon5’ #JORDI streams  1st Week +41,600,617 7th day +5,160,901  Total: 1,580,129,687  https://t.co/QVO4ckbu9B","[('jordi', 'n'), ('streams', 'n'), ('1st', 'n'), ('week', 'n'), ('41600617', 'n'), ('7th', 'n'), ('day', 'n'), ('5160901', 'n'), ('total', 'n'), ('1580129687', 'n')]",['jordi'],['jordi'],9,63,0.75,0.0,Neutral,POST
6,416,1405988614039773185,2021-06-18,-700,,@maroon5 My Friday Album I love it can’t stop listening to it 😎🙌🏻🎶 #JORDI   https://t.co/4rV0mv1IJ5,en,['jordi'],3366400617,EverydayShevine,5,13,False,6,0,0,,,friday album love cant stop listening jordi,0,6,0,2021-06-18 13:39:42,EverydayShevine@maroon5 My Friday Album I love it can’t stop listening to it 😎🙌🏻🎶 #JORDI   https://t.co/4rV0mv1IJ5,"[('friday', 'a'), ('album', 'n'), ('love', 'n'), ('cant', 'n'), ('stop', 'n'), ('listening', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,43,0.6,0.5,Positive,POST
7,417,1405979854051422209,2021-06-18,-700,,My album of the summer @maroon5 #JORDI  https://t.co/TF3YvvMDIP,en,['jordi'],1694415860,HannahRods,5,13,False,0,0,0,,,my album summer jordi,0,0,0,2021-06-18 13:04:53,HannahRodsMy album of the summer @maroon5 #JORDI  https://t.co/TF3YvvMDIP,"[('my', 'n'), ('album', 'n'), ('summer', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,21,0.0,0.0,Neutral,POST
8,418,1405966528592371716,2021-06-18,-700,,@maroon5 #love #onelight #m5 #maroon5 #JORDI   https://t.co/AkKZn2WS6h,und,"['love', 'onelight', 'm5', 'maroon5', 'jordi']",1108624052334268416,Scultra_Sculz,5,12,False,1,0,0,,,love onelight m5 maroon5 jordi,0,1,0,2021-06-18 12:11:56,Scultra_Sculz@maroon5 #love #onelight #m5 #maroon5 #JORDI   https://t.co/AkKZn2WS6h,"[('love', 'v'), ('onelight', 'n'), ('m5', 'v'), ('maroon5', 'n'), ('jordi', 'n')]","['love', 'onelight', 'm5', 'maroon5', 'jordi']","['love',",8,30,0.6,0.5,Positive,POST
9,419,1405963662020550656,2021-06-18,-700,,@officialcharts Omg! Where's #Jordi ? Out of top10. 😱 Maroon 5 is going down!! 🤯,en,['jordi'],324658616,EdilsonGracci,5,12,False,1,1,0,,,omg wheres jordi top10 maroon 5 go,0,1,1,2021-06-18 12:00:33,EdilsonGracci@officialcharts Omg! Where's #Jordi ? Out of top10. 😱 Maroon 5 is going down!! 🤯,"[('omg', 'a'), ('wheres', 'n'), ('jordi', 'v'), ('top10', 'a'), ('maroon', 'n'), ('5', 'n'), ('going', 'v')]",['jordi'],['jordi'],9,34,0.0,0.0,Neutral,POST
